"","series","baker_first_name","baker_last_name","baker_age","baker_occupation","hometown","episode","technical","result","signature_bake","show_stopper"
"209",3,"John","Whaite",22,"Law student","Wigan",5,2,"IN","Venison and Haggis Wellington","Star-Spangled Pecan Pie"
"210",3,"Sarah-Jane","Willis",28,"Vicar's wife","Bewbush, West Sussex",5,4,"IN","Beef Wellington with Parma Ham and Gorgonzola Cheese","Chocolate and Banana Cream Pie"
"211",3,"Manisha","Parmar",27,"Nursery nurse","Leicester",5,5,"OUT","Lamb Wellington with Rosemary and Mint","Banana Scotch Pie"
"212",3,"Ryan","Chong",38,"Photographer","Bristol",5,8,"STAR BAKER","Curry Spiced Seabass Wellington","Key Lime Pie"
"213",3,"Natasha","Stringer",36,"Midwife","Tamworth, Staffordshire",5,NA,NA,NA,NA
"214",3,"Peter","Maloney",43,"Sales manager","Windsor, Berkshire",5,NA,NA,NA,NA
"215",3,"Stuart","Marston-Smith",26,"PE teacher","Lichfield, Staffordshire",5,NA,NA,NA,NA
"216",3,"Victoria","Chester",50,"CEO of the charity Plantlife","Somerset",5,NA,NA,NA,NA
"217",3,"Cathryn","Dresser",27,"Shop assistant","Pease Pottage, West Sussex",6,3,"IN","Chocolate Walnut Whip Puddings
Elderflower Sponges","Roasted Vegetable Couscous and Sheep Cheese Strudel"
"218",3,"Danny","Bryden",45,"Intensive care consultant","Sheffield",6,2,"IN","Banoffee Puddings with Walnut Butterscotch SauceJubilee Chocolate Fondants","Leek, Potato, Pistachio and Gruyère Strudel"
"219",3,"James","Morton",21,"Medical student","Hillswick, Shetland Islands",6,7,"IN","Banana and Clove PuddingsClootie Dumplings","Strawberry, Rhubarb and Ginger Strudel"
"220",3,"John","Whaite",22,"Law student","Wigan",6,5,"IN","Spicy Toffee PuddingsRaspberry and White Chocolate Puddings","Did not complete due to injury"
"221",3,"Ryan","Chong",38,"Photographer","Bristol",6,6,"IN","Chocolate FondantsSticky Ginger and Date Puddings","Apple, Sour Cherry, Raisin and Mixed Nuts Strudel"
"222",3,"Sarah-Jane","Willis",28,"Vicar's wife","Bewbush, West Sussex",6,4,"IN","Sticky Toffee PuddingsGranny's Saucy Lemon Puddings","Sweet Strudel with Sour Cherries"
"223",3,"Brendan","Lynch",63,"Recruitment consultant","Sutton Coldfield",6,1,"STAR BAKER","Rhubarb, Strawberry and Ginger Puddings
Sticky Toffee Puddings","Spinach, Cheese and Walnut Strudel"
"224",3,"Manisha","Parmar",27,"Nursery nurse","Leicester",6,NA,NA,NA,NA
"225",3,"Natasha","Stringer",36,"Midwife","Tamworth, Staffordshire",6,NA,NA,NA,NA
"226",3,"Peter","Maloney",43,"Sales manager","Windsor, Berkshire",6,NA,NA,NA,NA
"227",3,"Stuart","Marston-Smith",26,"PE teacher","Lichfield, Staffordshire",6,NA,NA,NA,NA
"228",3,"Victoria","Chester",50,"CEO of the charity Plantlife","Somerset",6,NA,NA,NA,NA
"229",3,"Brendan","Lynch",63,"Recruitment consultant","Sutton Coldfield",7,4,"IN","Chelsea Bunskis","Black Forest Christmas Stollen"
"230",3,"Cathryn","Dresser",27,"Shop assistant","Pease Pottage, West Sussex",7,5,"IN","Lady Arundel's Manchet Buns","Bonfire Night Tear 'n' Share Brioche"
"231",3,"James","Morton",21,"Medical student","Hillswick, Shetland Islands",7,1,"IN","Easter Chelsea Buns","Whisky Kugelhopf-Brioche Baba"
"232",3,"John","Whaite",22,"Law student","Wigan",7,3,"IN","Cherry and Almond Saffron Buns","Marzipan Stollen"
"233",3,"Ryan","Chong",38,"Photographer","Bristol",7,6,"OUT","Lardy Cakes","Char Siu Bao"
"234",3,"Sarah-Jane","Willis",28,"Vicar's wife","Bewbush, West Sussex",7,7,"OUT","Orange, Nutmeg and Saffron Buns","Sour Cherry and Dark Chocolate Christmas Plait"
"235",3,"Danny","Bryden",45,"Intensive care consultant","Sheffield",7,2,"STAR BAKER","Bakewell Chelsea Buns","European Christmas Wreath"
"236",3,"Manisha","Parmar",27,"Nursery nurse","Leicester",7,NA,NA,NA,NA
"237",3,"Natasha","Stringer",36,"Midwife","Tamworth, Staffordshire",7,NA,NA,NA,NA
"238",3,"Peter","Maloney",43,"Sales manager","Windsor, Berkshire",7,NA,NA,NA,NA
"239",3,"Stuart","Marston-Smith",26,"PE teacher","Lichfield, Staffordshire",7,NA,NA,NA,NA
"240",3,"Victoria","Chester",50,"CEO of the charity Plantlife","Somerset",7,NA,NA,NA,NA
"241",3,"Brendan","Lynch",63,"Recruitment consultant","Sutton Coldfield",8,2,"IN","Multi-Seed Savoury Crackers","Fantasy Gingerbread Bird House"
"242",3,"Danny","Bryden",45,"Intensive care consultant","Sheffield",8,4,"IN","Spiced Almond Drinks Crackers","Gingerbread Big Ben"
"243",3,"John","Whaite",22,"Law student","Wigan",8,3,"IN","Asian Spice Crackers","Gingerbread Roman Coliseum"
"244",3,"Cathryn","Dresser",27,"Shop assistant","Pease Pottage, West Sussex",8,5,"OUT","Cheese and Pickle Crackers","Gingerbread Buckingham Palace"
"245",3,"James","Morton",21,"Medical student","Hillswick, Shetland Islands",8,1,"STAR BAKER","Smoky Cayenne, Cumin and Chilli Crackers","Gingerbread Barn"
"246",3,"Manisha","Parmar",27,"Nursery nurse","Leicester",8,NA,NA,NA,NA
"247",3,"Natasha","Stringer",36,"Midwife","Tamworth, Staffordshire",8,NA,NA,NA,NA
"248",3,"Peter","Maloney",43,"Sales manager","Windsor, Berkshire",8,NA,NA,NA,NA
"249",3,"Ryan","Chong",38,"Photographer","Bristol",8,NA,NA,NA,NA
"250",3,"Sarah-Jane","Willis",28,"Vicar's wife","Bewbush, West Sussex",8,NA,NA,NA,NA
"251",3,"Stuart","Marston-Smith",26,"PE teacher","Lichfield, Staffordshire",8,NA,NA,NA,NA
"252",3,"Victoria","Chester",50,"CEO of the charity Plantlife","Somerset",8,NA,NA,NA,NA
"253",3,"Brendan","Lynch",63,"Recruitment consultant","Sutton Coldfield",9,3,"IN","Coffee Meringue and Hazelnut CreamsApricot and Pistachio FriandsLime Curd Choux Pastry Cygnets","Gateau St. Honoré"
"254",3,"John","Whaite",22,"Law student","Wigan",9,2,"IN","Lemon MadeleinesWhite Chocolate and Raspberry TartletsDark Chocolate and Cherry Macaroons","Gateau St. Honoré a la Passion"
"255",3,"Danny","Bryden",45,"Intensive care consultant","Sheffield",9,4,"OUT","Blackberry and Peppermint MacaroonsMiniature Raspberry and Basil FinanciersOrange and White Chocolate Langues de Chat","Rosewater and Lychee St. Honoré"
"256",3,"James","Morton",21,"Medical student","Hillswick, Shetland Islands",9,1,"STAR BAKER","Lemon and Rhubarb TartletsChocolate Indulgence Petits FoursChilli, Lime and Raspberry Macaroons","Coffee, Caramel and Hazelnut Paris-Brest"
"257",3,"Cathryn","Dresser",27,"Shop assistant","Pease Pottage, West Sussex",9,NA,NA,NA,NA
"258",3,"Manisha","Parmar",27,"Nursery nurse","Leicester",9,NA,NA,NA,NA
"259",3,"Natasha","Stringer",36,"Midwife","Tamworth, Staffordshire",9,NA,NA,NA,NA
"260",3,"Peter","Maloney",43,"Sales manager","Windsor, Berkshire",9,NA,NA,NA,NA
"261",3,"Ryan","Chong",38,"Photographer","Bristol",9,NA,NA,NA,NA
"262",3,"Sarah-Jane","Willis",28,"Vicar's wife","Bewbush, West Sussex",9,NA,NA,NA,NA
"263",3,"Stuart","Marston-Smith",26,"PE teacher","Lichfield, Staffordshire",9,NA,NA,NA,NA
"264",3,"Victoria","Chester",50,"CEO of the charity Plantlife","Somerset",9,NA,NA,NA,NA
"265",3,"Brendan","Lynch",63,"Recruitment consultant","Sutton Coldfield",10,2,"Runner-up","Potato and Pepper Pithivier","Family Reunion Chiffon Cake"
"266",3,"James","Morton",21,"Medical student","Hillswick, Shetland Islands",10,1,"Runner-up","Spanish Pithivier with Chorizo and Red Pepper","United Chiffon Cakes"
"267",3,"John","Whaite",22,"Law student","Wigan",10,2,"WINNER","Italian Sausage and Roasted Vegetable Pithivier","Heaven and Hell Chiffon Cake"
"268",3,"Cathryn","Dresser",27,"Shop assistant","Pease Pottage, West Sussex",10,NA,NA,NA,NA
"269",3,"Danny","Bryden",45,"Intensive care consultant","Sheffield",10,NA,NA,NA,NA
"270",3,"Manisha","Parmar",27,"Nursery nurse","Leicester",10,NA,NA,NA,NA
"271",3,"Natasha","Stringer",36,"Midwife","Tamworth, Staffordshire",10,NA,NA,NA,NA
"272",3,"Peter","Maloney",43,"Sales manager","Windsor, Berkshire",10,NA,NA,NA,NA
"273",3,"Ryan","Chong",38,"Photographer","Bristol",10,NA,NA,NA,NA
"274",3,"Sarah-Jane","Willis",28,"Vicar's wife","Bewbush, West Sussex",10,NA,NA,NA,NA
"275",3,"Stuart","Marston-Smith",26,"PE teacher","Lichfield, Staffordshire",10,NA,NA,NA,NA
"276",3,"Victoria","Chester",50,"CEO of the charity Plantlife","Somerset",10,NA,NA,NA,NA
"277",4,"Ali","Imdad",25,"Charity worker","Saltley, Birmingham",1,11,"IN","Rose and Pistachio Cake","Chocolate, Raspberry and Passion Fruit Engagement Cake"
"278",4,"Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",1,8,"IN","Grapefruit Sandwich Cake","Chocolate Cherry Indulgence"
"279",4,"Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",1,3,"IN","Strawberry, Vanilla and Rosewater Summer Basket","Chocolate and Orange 'Fripperous' Hat Cake"
"280",4,"Deborah","Manger",51,"Dentist","Peterborough",1,9,"IN","Pineapple Cake","'Coffee Time'"
"281",4,"Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",1,7,"IN","Giant Jam Sandwich","Secret Squirrel Cake"
"282",4,"Glenn","Cosby",37,"English Teacher","Teignmouth, Devon",1,4,"IN","Strawberries and Cream Cake","Almond and Espresso Chocolate Cake"
"283",4,"Howard","Middleton",51,"Council Worker","Sheffield",1,6,"IN","Passion Fruit and Coconut Cake","Black Forest Revisited"
"284",4,"Kimberley","Wilson",30,"Psychologist","London",1,10,"IN","Blood Orange Cake","Chocolate, Raspberry & Basil Layer Cake"
"285",4,"Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",1,2,"IN","Timperley Early Cake","Thyme 'Wildwood' Cake"
"286",4,"Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",1,5,"IN","Lemon and Poppy Seed Cake","Chocolate Monster"
"287",4,"Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",1,12,"IN","Rhubarb and Custard Sandwich Cake","Chocolate and Ginger Night Sky Cake"
"288",4,"Toby","Waterworth",30,"Web Programmer","Reading, Berkshire",1,13,"OUT","Spiced and Iced Carrot Cake","Two Tiered Chocolate Cake"
"289",4,"Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",1,1,"STAR BAKER","Pecan and Apple Cake","Raspberry Chocolate Cake"
"290",4,"Ali","Imdad",25,"Charity worker","Saltley, Birmingham",2,9,"IN","Italian Grissini","Sweet and Savoury Yin Yang Bread"
"291",4,"Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",2,11,"IN","Fennel and Chilli Breadsticks","Five Strand Christmas Wreath"
"292",4,"Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",2,4,"IN","Mediterranean Breadsticks with Oregano","Double Plaited Loaf"
"293",4,"Deborah","Manger",51,"Dentist","Peterborough",2,8,"IN","Fennel & Chilli Breadsticks","Walnut Fleur Loaf"
"294",4,"Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",2,2,"IN","Giant Matchsticks","Sailor's Knot"
"295",4,"Glenn","Cosby",37,"English Teacher","Teignmouth, Devon",2,7,"IN","Rosemary and Parmesan Grissini","Harvest Crown"
"296",4,"Howard","Middleton",51,"Council Worker","Sheffield",2,10,"IN","Moroccan Breadsticks","Picasso Sun Bread"
"297",4,"Kimberley","Wilson",30,"Psychologist","London",2,1,"IN","Nigella Seed and Parmesan Breadsticks","Peace Bread"
"298",4,"Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",2,6,"IN","Rosemary & Raisin Breadsticks","Sage & Garlic Plait"
"299",4,"Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",2,5,"IN","Twisty Rye Bread Sticks","Tribute Loaf"
"300",4,"Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",2,12,"OUT","Grissini with Salt","Roast Tomato Bread"
"301",4,"Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",2,3,"STAR BAKER","Mexican Breadsticks","White Chocolate and Orange Peacock Bread"
"302",4,"Toby","Waterworth",30,"Web Programmer","Reading, Berkshire",2,NA,NA,NA,NA
"303",4,"Ali","Imdad",25,"Charity worker","Saltley, Birmingham",3,5,"IN","Coconut, Raspberry and Lemon Meringue Trifle","Vanilla Latte Mini CakesLime & Mint Shortbread Pops"
"304",4,"Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",3,10,"IN","Orange and Ginger Trifle","Limoncello and Blueberry BurstsMillionaire Shortbread"
"305",4,"Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",3,8,"IN","Apple and Blackberry Crumble Trifle","'Ballet Bites' Ginger NutcrackersSugar Plum Fairy Cakes"
"306",4,"Glenn","Cosby",37,"English Teacher","Teignmouth, Devon",3,1,"IN","Raspberry and Almond Trifle","Billionaire BouchéesOrange Financiers"
"307",4,"Howard","Middleton",51,"Council Worker","Sheffield",3,7,"IN","Caramel and Apple Trifle*","Black Coffee and Cardamom CakesWhite Stilton and Pear Biscuits"
"308",4,"Kimberley","Wilson",30,"Psychologist","London",3,6,"IN","Peach, Almond and Ginger Trifle","Chocolate Pistachio FinanciersLemon Bergamot Biscuits"
"309",4,"Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",3,2,"IN","Rhubarb and Orange Trifle","Almond FriandsTurǫn Macaroons"
"310",4,"Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",3,3,"IN","Desert Island Trifle","Lemon Shortbread and White Chocolate SeashellsBlackberry and Chocolate Layer Cakes"
"311",4,"Deborah","Manger",51,"Dentist","Peterborough",3,9,"OUT","Tropical Trifle*","Canelé Cherry and Chocolate CakesRose Cookies"
"312",4,"Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",3,11,"OUT","Ginger, Mango and Passion Fruit Trifle","Rose and Pistachio MacaroonsChocolate and Raspberry Bites"
"313",4,"Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",3,4,"STAR BAKER","Caribbean Pina Colada Trifle","Ninety-NinersSachertorte Parcels"
"314",4,"Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",3,NA,NA,NA,NA
"315",4,"Toby","Waterworth",30,"Web Programmer","Reading, Berkshire",3,NA,NA,NA,NA
"316",4,"Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",4,2,"IN","Mamgu's Cherry-Apple Tart","Moroccan Vegetable Filo Feast"
"317",4,"Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",4,7,"IN","Granny Rogers' Apple, Plum & Cinnamon Country Pie","Roasted Vegetable Filo Pie with Feta Cheese"
"318",4,"Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",4,1,"IN","Peach Pie In the Sky","Cherry Tree Baklava Filo Pie"
"319",4,"Glenn","Cosby",37,"English Teacher","Teignmouth, Devon",4,9,"IN","Apple & Maple Syrup Pie","Spanakopita (Walnut and Feta Cheese)"
"320",4,"Howard","Middleton",51,"Council Worker","Sheffield",4,5,"IN","Apple Pie with Sage Pastry","Fresh Fig and Feta Filo Flan"
"321",4,"Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",4,3,"IN","Apple and Pear Pie with Thyme","Spanakopita with St George's Mushrooms"
"322",4,"Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",4,6,"IN","Apple and Marzipan Pie","Rose, Almond and Raspberry Filo Pie"
"323",4,"Ali","Imdad",25,"Charity worker","Saltley, Birmingham",4,8,"OUT","Apple and Ginger Pie with a Pecan and Walnut Shortcrust Pastry","Orange, Cardamom and Date M'Hanncha"
"324",4,"Kimberley","Wilson",30,"Psychologist","London",4,4,"STAR BAKER","Pecan and Rosemary Caramel Apple Pie","Chicken, Bacon and Butternut Squash Pie"
"325",4,"Deborah","Manger",51,"Dentist","Peterborough",4,NA,NA,NA,NA
"326",4,"Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",4,NA,NA,NA,NA
"327",4,"Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",4,NA,NA,NA,NA
"328",4,"Toby","Waterworth",30,"Web Programmer","Reading, Berkshire",4,NA,NA,NA,NA
"329",4,"Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",5,5,"IN","Chocolate, Cherry and Hazelnut Brownies","Tiered Macaron and Sugar Dough Biscuit Centrepiece"
"330",4,"Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",5,3,"IN","Millionaire Banoffee Bonus","Biscuit Buttons and Beads"
"331",4,"Glenn","Cosby",37,"English Teacher","Teignmouth, Devon",5,2,"IN","Apricot and Pistachio Tiffin","Shortbread and Macaron Helter-Skelter"
"332",4,"Howard","Middleton",51,"Council Worker","Sheffield",5,8,"IN","Breakfast Traybake","Japanese Pagoda Tea Tower"
"333",4,"Kimberley","Wilson",30,"Psychologist","London",5,7,"IN","Cherry and Almond Bakewell Florentine Slice","Black and White Viennese Biscuit Stack"
"334",4,"Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",5,6,"IN","Blackberry and Lemon Bakewell Slice","'Dropped Ice-Cream' Biscuit Centrepiece"
"335",4,"Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",5,4,"OUT","Blueberry & Orange Traybake","Dalek"
"336",4,"Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",5,1,"STAR BAKER","Mixed Berry and Almond Crumble Traybake","Shortbread Bavarian Clock Tower"
"337",4,"Ali","Imdad",25,"Charity worker","Saltley, Birmingham",5,NA,NA,NA,NA
"338",4,"Deborah","Manger",51,"Dentist","Peterborough",5,NA,NA,NA,NA
"339",4,"Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",5,NA,NA,NA,NA
"340",4,"Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",5,NA,NA,NA,NA
"341",4,"Toby","Waterworth",30,"Web Programmer","Reading, Berkshire",5,NA,NA,NA,NA
"342",4,"Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",6,6,"IN","Bara Brith","Chocolate and Rum-Soaked Prune BriochesCardamom Spiced Lemon Iced Buns"
"343",4,"Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",6,4,"IN","Oxford Nutty Fruit Loaf","Schnecken BunsVanilla Custard Skolebrød"
"344",4,"Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",6,2,"IN","Chai Tea Loaf","Hot Cross BriochesRhubarb and Custard Kolaches"
"345",4,"Glenn","Cosby",37,"English Teacher","Teignmouth, Devon",6,5,"IN","Devonshire Panettone","Almond and Apricot BriochesSticky Caramel Kanelbullen"
"346",4,"Kimberley","Wilson",30,"Psychologist","London",6,3,"IN","Chai Spiced Ginger and Date Tea Loaf","Double Chocolate and Hazelnut BriochesDanish Kanelsnurrer"
"347",4,"Howard","Middleton",51,"Council Worker","Sheffield",6,7,"OUT","Date & Hemp Yorkshire Loaf","Peachy BunsGerman Baumschnecken"
"348",4,"Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",6,1,"STAR BAKER","Citrus Tea Loaf","Twisted Swedish KanelbullarSaffron St. Lucia Buns"
"349",4,"Ali","Imdad",25,"Charity worker","Saltley, Birmingham",6,NA,NA,NA,NA
"350",4,"Deborah","Manger",51,"Dentist","Peterborough",6,NA,NA,NA,NA
"351",4,"Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",6,NA,NA,NA,NA
"352",4,"Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",6,NA,NA,NA,NA
"353",4,"Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",6,NA,NA,NA,NA
"354",4,"Toby","Waterworth",30,"Web Programmer","Reading, Berkshire",6,NA,NA,NA,NA
"355",4,"Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",7,1,"IN","Spring Lamb and Vegetable Suet Puddingwith Redcurrant Gravy","Nectarine and Frangipane SquaresChocolate and Hazelnut Vol-au-ventsStrawberries and Cream Mille-feuille"
"356",4,"Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",7,6,"IN","Spotted Dick 'With a Kick'and Vanilla Custard Ice Cream","Eccles CakesFresh Fruit BasketsLemon Cream Eton Mess Mille-feuille"
"357",4,"Kimberley","Wilson",30,"Psychologist","London",7,4,"IN","Barberry and Apple Spotted Dickwith Maple Syrup and White Chocolate Custard","Pear, Malt and Butterscotch Mille-feuilleBlackberry and Lemon Verbena Crème Brûle Custard TartsFig, Orange and Thyme Galette"
"358",4,"Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",7,2,"IN","Plum Jam Roly-Polywith Ginger Ice cream","Raspberry and Passion Fruit Mille-feuilleCaramelised Apple LatticePortuguese Custard Tarts"
"359",4,"Glenn","Cosby",37,"English Teacher","Teignmouth, Devon",7,3,"OUT","Prune and Armagnac Puddingwith Boozy Butterscotch Sauce","Caramelised Apple and Marzipan TartletsChocolate Elephant EarsPassion Fruit Mille-feuille"
"360",4,"Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",7,5,"STAR BAKER","Figgy Roll-y Poly Puddingwith Caramelised Walnut and Honey Ice-Cream","French Framboise Cream HornsSheet Music Mille-feuilleBass Clef Palmiers"
"361",4,"Ali","Imdad",25,"Charity worker","Saltley, Birmingham",7,NA,NA,NA,NA
"362",4,"Deborah","Manger",51,"Dentist","Peterborough",7,NA,NA,NA,NA
"363",4,"Howard","Middleton",51,"Council Worker","Sheffield",7,NA,NA,NA,NA
"364",4,"Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",7,NA,NA,NA,NA
"365",4,"Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",7,NA,NA,NA,NA
"366",4,"Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",7,NA,NA,NA,NA
"367",4,"Toby","Waterworth",30,"Web Programmer","Reading, Berkshire",7,NA,NA,NA,NA
"368",4,"Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",8,4,"IN","Potato, Spelt and Rosemary Focaccia","Spiced Butternut Squash and Pecan 'Cheese' Cake"
"369",4,"Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",8,3,"IN","'Chelsea Flour Show' Bun Bouquet","Hidden Carrot Cake (Ground Praline, Beetroot and Walnut)"
"370",4,"Kimberley","Wilson",30,"Psychologist","London",8,2,"IN","Wild Garlic Pesto and Parma Ham Spelt Loaf","Butternut Squash and Spice Cake Toadstool House"
"371",4,"Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",8,5,"OUT","Multi-Seeded Loaf with Pumpkin, Sesame and Sunflower Seeds","Sweet Potato Guitar with Passion Fruit Icing and Marshmallow Fondant"
"372",4,"Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",8,1,"STAR BAKER","Mango and Nigella Seed Spelt Cob","Carrot Cake and Pistachio Garden Plot"
"373",4,"Ali","Imdad",25,"Charity worker","Saltley, Birmingham",8,NA,NA,NA,NA
"374",4,"Deborah","Manger",51,"Dentist","Peterborough",8,NA,NA,NA,NA
"375",4,"Glenn","Cosby",37,"English Teacher","Teignmouth, Devon",8,NA,NA,NA,NA
"376",4,"Howard","Middleton",51,"Council Worker","Sheffield",8,NA,NA,NA,NA
"377",4,"Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",8,NA,NA,NA,NA
"378",4,"Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",8,NA,NA,NA,NA
"379",4,"Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",8,NA,NA,NA,NA
"380",4,"Toby","Waterworth",30,"Web Programmer","Reading, Berkshire",8,NA,NA,NA,NA
"381",4,"Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",9,2,"IN","Legume Canapés:
Chantenay CarrotsChoux Pastry TomatoesCauliflower Cheese Scones","Great British Soap Opera Cake"
"382",4,"Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",9,4,"IN","Beetroot Jelly on Poppy Seed BiscuitsSpinach, Parmesan and Egg TartletsChoux Buns with Goat's Cheese and Caramelised Onions","Chocolate, Almond Praline and Saffron Opera Cake"
"383",4,"Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",9,3,"OUT","Stilton and Walnut MacaronsBeetroot and Salmon Choux PuffsWelsh Rarebit Tartlets","Banoffee Opera Cake"
"384",4,"Kimberley","Wilson",30,"Psychologist","London",9,1,"STAR BAKER","Pea Purée TartsCrab and Wasabi ProfiterolesSteamed Buns with Barbecue Chicken","Passion Fruit and Lime Opera Cake"
"385",4,"Ali","Imdad",25,"Charity worker","Saltley, Birmingham",9,NA,NA,NA,NA
"386",4,"Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",9,NA,NA,NA,NA
"387",4,"Deborah","Manger",51,"Dentist","Peterborough",9,NA,NA,NA,NA
"388",4,"Glenn","Cosby",37,"English Teacher","Teignmouth, Devon",9,NA,NA,NA,NA
"389",4,"Howard","Middleton",51,"Council Worker","Sheffield",9,NA,NA,NA,NA
"390",4,"Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",9,NA,NA,NA,NA
"391",4,"Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",9,NA,NA,NA,NA
"392",4,"Robert","Smart",54,"Space Satellite Designer","Melbourn, Cambridgeshire",9,NA,NA,NA,NA
"393",4,"Toby","Waterworth",30,"Web Programmer","Reading, Berkshire",9,NA,NA,NA,NA
"394",4,"Kimberley","Wilson",30,"Psychologist","London",10,1,"Runner-up","Chicken and Pig Pie","Languages of Love Wedding Cake"
"395",4,"Ruby","Tandoh",20,"History of Art and Philosophy Student","Southend, Essex",10,2,"Runner-up","Picnic Basket Pie","Raspberry, Lemon and Passion Fruit Wedding Cake"
"396",4,"Frances","Quinn",31,"Children's Clothes Designer","Market Harborough, Leicestershire",10,3,"WINNER","Rainbow Picnic Pie","Midsummer Night's Dream Wedding Cake"
"397",4,"Ali","Imdad",25,"Charity worker","Saltley, Birmingham",10,NA,NA,NA,NA
"398",4,"Beca","Lyne-Pirkis",31,"Military Wives' Choir Singer","Aldershot, Hampshire",10,NA,NA,NA,NA
"399",4,"Christine","Wallace",66,"Director of an engraving company","Didcot, Oxfordshire",10,NA,NA,NA,NA
"400",4,"Deborah","Manger",51,"Dentist","Peterborough",10,NA,NA,NA,NA
"401",4,"Glenn","Cosby",37,"English Teacher","Teignmouth, Devon",10,NA,NA,NA,NA
"402",4,"Howard","Middleton",51,"Council Worker","Sheffield",10,NA,NA,NA,NA
"403",4,"Lucy","Bellamy",38,"Horticulturist","Grimsby, Lincolnshire",10,NA,NA,NA,NA
"404",4,"Mark","Onley",37,"Carpenter and Kitchen Fitter","Milton Keynes",10,NA,NA,NA,NA
